Date,Volume
1/02/2022,86213900
2/02/2022,84914300
3/02/2022,89418100
4/02/2022,82465400
7/02/2022,77251200
8/02/2022,74829200
9/02/2022,71285000
10/02/2022,90865900
11/02/2022,98670700
14/02/2022,86185500
15/02/2022,62527400
16/02/2022,61177400
17/02/2022,69589300
18/02/2022,82772700
22/02/2022,91162800
23/02/2022,90009200
24/02/2022,141147500
25/02/2022,91974200
28/02/2022,95056600
1/03/2022,83474400
2/03/2022,79724800
3/03/2022,76678400
4/03/2022,83737200
7/03/2022,96418800
8/03/2022,131148300
9/03/2022,91454900
10/03/2022,105342000
11/03/2022,96970100
14/03/2022,108732100
15/03/2022,92964300
16/03/2022,102300200
17/03/2022,75615400
18/03/2022,123511700
21/03/2022,95811400
22/03/2022,81532000
23/03/2022,98062700
24/03/2022,90131400
25/03/2022,80546200
28/03/2022,90371900
29/03/2022,100589400
30/03/2022,92633200
31/03/2022,103049300
